name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cucumber green mottle mosaic virus	12235	S	2297	0	2297	0.58418
Tomato brown rugose fruit virus	1761477	S	10	0	10	0.00254
Quadragintavirus ev129	2956347	S	359	122	481	0.12233
Evevirus ev239	2955874	S	163	13	176	0.04476
Peduovirus P22H1	2844217	S	64	3	67	0.01704
Peduovirus P22H4	2844218	S	18	0	18	0.00458
Eganvirus SW9	2846110	S	14	2	16	0.00407
Jouyvirus ev017	2844245	S	90	182	272	0.06918
Jouyvirus ev207	2844249	S	37	147	184	0.04680
Tequatrovirus gee4507	2844199	S	55	110	165	0.04196
Tequatrovirus kaw	2844208	S	40	59	99	0.02518
Carjivirus communis	2955582	S	33	8	41	0.01043
Radostvirus ev099	2844247	S	40	61	101	0.02569
