name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Carjivirus communis	2955582	S	64	3	67	0.20807
Quadragintavirus ev129	2956347	S	46	18	64	0.19876
Evevirus ev239	2955874	S	13	1	14	0.04348
Jouyvirus ev017	2844245	S	23	37	60	0.18634
Jouyvirus ev207	2844249	S	13	41	54	0.16770
Tequatrovirus gee4507	2844199	S	11	17	28	0.08696
Tequatrovirus kaw	2844208	S	10	11	21	0.06522
Tepukevirus Psa21	3060728	S	10	0	10	0.03106
