name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Quadragintavirus ev129	2956347	S	125	38	163	0.27959
Evevirus ev239	2955874	S	37	5	42	0.07204
Peduovirus P22H1	2844217	S	28	1	29	0.04974
Carjivirus communis	2955582	S	37	2	39	0.06690
Tequatrovirus gee4507	2844199	S	18	43	61	0.10463
Tequatrovirus kaw	2844208	S	16	28	44	0.07547
Jouyvirus ev017	2844245	S	26	64	90	0.15437
Jouyvirus ev207	2844249	S	12	58	70	0.12007
Kirikabuvirus NV3	2733347	S	18	0	18	0.03087
Pamexvirus PaMx74	1982358	S	12	0	12	0.02058
Tepukevirus Psa21	3060728	S	10	0	10	0.01715
