name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Severe acute respiratory syndrome-related coronavirus	694009	S	6419	0	6419	0.62821
Cucumber green mottle mosaic virus	12235	S	3138	0	3138	0.30711
Tomato brown rugose fruit virus	1761477	S	68	0	68	0.00665
Pepper mild mottle virus	12239	S	24	0	24	0.00235
Orthohantavirus oxbowense	3052491	S	46	0	46	0.00450
Quadragintavirus ev129	2956347	S	124	30	154	0.01507
Evevirus ev239	2955874	S	43	3	46	0.00450
Peduovirus P22H1	2844217	S	22	0	22	0.00215
Carjivirus hominis	2955583	S	19	1	20	0.00196
Carjivirus communis	2955582	S	14	1	15	0.00147
Jouyvirus ev017	2844245	S	27	75	102	0.00998
Jouyvirus ev207	2844249	S	10	55	65	0.00636
Radostvirus ev099	2844247	S	11	23	34	0.00333
Betabaculovirus chofumiferanae	3051997	S	61	0	61	0.00597
