name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Quadragintavirus ev129	2956347	S	46	31	77	0.12281
Evevirus ev239	2955874	S	13	2	15	0.02392
Carjivirus communis	2955582	S	38	4	42	0.06699
Kirikabuvirus NV3	2733347	S	19	0	19	0.03030
Jouyvirus ev017	2844245	S	18	90	108	0.17225
Severe acute respiratory syndrome-related coronavirus	694009	S	334	0	334	0.53270
Cucumber green mottle mosaic virus	12235	S	16	0	16	0.02552
Human mastadenovirus C	129951	S	15	0	15	0.02392
